Year,Region,Subsector,TargetFactor,SimulatedRealYFactor,SimulatedPriceWeightedVAFactor,AbsDiffRealY,AbsDiffPriceWeightedVA
2039,1,3,1.07886690647482,1.1126355409968,1.07886690647482,0.0337686345219788,4.21884749357559e-15
2040,1,3,1.07885304659498,1.1294521008082,1.07885304659498,0.0505990542132198,4.44089209850063e-16
2041,1,3,1.08267857142857,1.00665125128883,1.08267857142857,0.076027320139737,4.44089209850063e-16
2042,1,3,1.08262411347518,1.01914704146246,1.08262411347517,0.0634770720127125,5.99520433297585e-15
2043,1,3,1.08257042253521,1.01812746667912,1.08257042253521,0.0644429558560942,1.33226762955019e-15
2044,1,3,1.08251748251748,1.0165329440473,1.08251748251748,0.0659845384701852,2.22044604925031e-16
2045,1,3,1.08246527777778,1.01571170773685,1.08246527777778,0.0667535700409307,3.99680288865056e-15
2046,1,3,1.08241379310345,1.01395901745092,1.08241379310345,0.0684547756525289,2.88657986402541e-15
2047,1,3,1.08236301369863,0.999272381760615,1.08236301369864,0.0830906319380149,4.88498130835069e-15
2048,1,3,1.08231292517007,1.00887947192132,1.08231292517007,0.0734334532487477,6.66133814775094e-16
2049,1,3,1.08226351351351,1.01523813302521,1.08226351351351,0.067025380488301,1.99840144432528e-15
2050,1,3,1.08221476510067,1.0150999832317,1.08221476510067,0.0671147818689732,2.22044604925031e-16
2051,1,3,1.08221476510067,1.0304307660927,1.08221476510066,0.0517839990079727,7.105427357601e-15
2026,1,4,1.14808511732093,1.00076842272581,1.14808511732093,0.147316694595119,8.88178419700125e-16
2027,1,4,1.14607117386597,0.973779728151494,1.14607117386597,0.172291445714472,4.88498130835069e-15
2028,1,4,1.14421914834627,0.975624865152919,1.14421914834627,0.16859428319335,4.44089209850063e-15
2029,1,4,1.14251026846666,0.983393413569562,1.14251026846666,0.1591168548971,1.99840144432528e-15
2030,1,4,1.14092855583354,0.991957403335939,1.14092855583355,0.1489711524976,6.88338275267597e-15
2031,1,4,1.05571904028646,1.18098613123957,1.05571904028646,0.125267090953109,1.55431223447522e-15
2032,1,4,1.04968422000226,1.16725861401146,1.04968422000226,0.117574394009204,1.33226762955019e-15
2033,1,4,1.04377841580971,1.16635305994761,1.0437784158097,0.122574644137901,2.66453525910038e-15
2034,1,4,1.03797714716724,1.16624710899035,1.03797714716723,0.128269961823116,6.66133814775094e-15
2035,1,4,1.03225439058951,1.16660273053466,1.03225439058951,0.134348339945149,2.88657986402541e-15
2036,1,4,1.07286872241818,1.05852063730273,1.07286872241818,0.0143480851154452,1.55431223447522e-15
2037,1,4,1.07286448858786,1.05869345693941,1.07286448858785,0.0141710316484451,2.22044604925031e-15
2038,1,4,1.07286023790285,1.05879742925418,1.07286023790285,0.0140628086486743,1.77635683940025e-15
2039,1,4,1.07285597026232,1.05891257594679,1.07285597026232,0.0139433943155363,6.66133814775094e-16
2040,1,4,1.07285168556462,1.05896177417893,1.07285168556462,0.0138899113856894,1.55431223447522e-15
2041,1,4,1.05846153846154,1.0939630001902,1.05846153846154,0.0355014617286635,2.22044604925031e-16
2042,1,4,1.058203125,1.09361704459982,1.058203125,0.0354139195998227,8.88178419700125e-16
2043,1,4,1.05793650793651,1.09414589570776,1.05793650793651,0.0362093877712495,2.22044604925031e-16
2044,1,4,1.05766129032258,1.09475902350543,1.05766129032258,0.0370977331828513,2.22044604925031e-16
2045,1,4,1.05737704918033,1.09538506686206,1.05737704918033,0.0380080176817335,2.22044604925031e-16
2046,1,4,1.03916666666667,1.13930248994306,1.03916666666667,0.100135823276392,3.33066907387547e-15
2047,1,4,1.03793103448276,1.14439874437654,1.03793103448275,0.106467709893779,4.44089209850063e-15
2048,1,4,1.03660714285714,1.14848843056015,1.03660714285715,0.111881287703005,2.66453525910038e-15
2049,1,4,1.03518518518518,1.15349871691985,1.03518518518518,0.118313531734664,4.44089209850063e-16
2050,1,4,1.03365384615385,1.15990130473829,1.03365384615384,0.126247458584447,8.21565038222616e-15
2051,1,4,1.03365384615385,1.17082492212013,1.03365384615373,0.137171075966287,1.16573417585641e-13
2026,1,5,1.08410687232125,1.14015769577148,1.08410687232125,0.0560508234502344,1.11022302462516e-15
2027,1,5,1.08387387729662,1.13248986824355,1.08387387729662,0.0486159909469324,4.44089209850063e-16
2028,1,5,1.08363394916578,1.13166051395775,1.08363394916579,0.0480265647919695,3.99680288865056e-15
2029,1,5,1.08338677379802,1.13278926345737,1.08338677379801,0.0494024896593488,5.55111512312578e-15
2030,1,5,1.08313201779442,1.13472231304323,1.08313201779442,0.051590295248801,2.22044604925031e-16
2031,1,5,1.14384243569756,1.03543143600185,1.14384243569756,0.108410999695715,8.88178419700125e-16
2032,1,5,1.13680402165316,1.02902399485721,1.13680402165316,0.107780026795949,3.10862446895044e-15
2033,1,5,1.13020026237759,1.02879524058837,1.13020026237759,0.101405021789213,1.77635683940025e-15
2034,1,5,1.12399554713735,1.02815494769866,1.12399554713735,0.0958405994386922,8.88178419700125e-16
2035,1,5,1.11815847515616,1.02696084423754,1.11815847515616,0.0911976309186182,1.33226762955019e-15
2036,1,5,1.08695158027006,1.06287282423623,1.08695158027006,0.0240787560338271,1.55431223447522e-15
2037,1,5,1.08682016662336,1.06326501756789,1.08682016662336,0.0235551490554691,5.10702591327572e-15
2038,1,5,1.08669161146465,1.06361218778902,1.08669161146465,0.0230794236756293,3.5527136788005e-15
2039,1,5,1.08656582253134,1.06394501577938,1.08656582253135,0.022620806751964,8.88178419700125e-16
2040,1,5,1.08644271148915,1.06423607674246,1.08644271148915,0.0222066347466834,6.66133814775094e-16
2041,1,5,1.09193429068755,1.05538821809842,1.09193429068756,0.0365460725891364,1.11022302462516e-15
2042,1,5,1.09167166481021,1.05550192136501,1.09167166481021,0.0361697434452026,0
2043,1,5,1.09141706041175,1.05584417485709,1.09141706041175,0.0355728855546535,3.33066907387547e-15
2044,1,5,1.09117011551567,1.05614296908174,1.09117011551566,0.0350271464339245,2.88657986402541e-15
2045,1,5,1.0909304896021,1.05637166746275,1.09093048960209,0.0345588221393418,1.55431223447522e-15
2046,1,5,1.09937071399758,1.0447981122242,1.09937071399758,0.0545726017733827,1.77635683940025e-15
2047,1,5,1.0988304670243,1.04528148052246,1.0988304670243,0.053548986501833,8.88178419700125e-16
2048,1,5,1.09831365285174,1.04522410257528,1.09831365285174,0.0530895502764568,1.99840144432528e-15
2049,1,5,1.09781877927179,1.04505402922422,1.09781877927179,0.0527647500475734,1.11022302462516e-15
2050,1,5,1.09734447814187,1.04477352011937,1.09734447814187,0.0525709580225087,7.7715611723761e-15
2051,1,5,1.09734447814187,1.04671848228121,1.09734447814185,0.0506259958606676,2.8643754035329e-14
